Region,2024 (current prices),Unnamed: 39,Omitted countries,year,value
South America,53.602350132444535,,,1995,39.35252631021274
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1995,165.6812420664319
Oceania,36.98674327781575,,,1995,16.40404898882511
South Asia,102.3815205919318,,,1995,29.5926264476219
East Asia,433.1594053700567,,,1995,96.93827628357474
South East Asia,54.86528321337011,,,1995,22.309113800496032
Central Asia,1.9284080397939944,,,1995,0.437176545914171
Europe,693.4417221375255,,,1995,313.52253748413955
Central Europe,74.9747613412554,,,1995,23.553774206662005
Eastern Europe,221.0853464281265,,,1995,28.471636640821576
Western Europe,397.3816143681436,,,1995,261.49712663665593
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1995,72.67801365404625
World,2718.18371875139,,,1996,1186.0605570218288
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1996,15.054588331839888
North Africa,30.201147045776676,,,1996,4.8505867350600855
sub-Saharan Africa,21.851767848375367,,,1996,10.2040015967798
Americas,1100.039531310176,,Cuba,1996,617.2573706076331
Central America and the Caribbean,19.781283367512405,,,1996,5.399258493857565
North America,1026.655897810219,,,1996,574.7717481697823
South America,53.602350132444535,,,1996,37.086363943993106
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1996,169.9534611459372
Oceania,36.98674327781575,,,1996,16.278183509529494
South Asia,102.3815205919318,,,1996,29.959947864553413
East Asia,433.1594053700567,,,1996,99.86696342450988
South East Asia,54.86528321337011,,,1996,23.38807019949348
Central Asia,1.9284080397939944,,,1996,0.4602961478510003
Europe,693.4417221375255,,,1996,310.85153934768
Central Europe,74.9747613412554,,,1996,23.1984340840014
Eastern Europe,221.0853464281265,,,1996,26.86600792522292
Western Europe,397.3816143681436,,,1996,260.7870973384557
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1996,72.94359758873871
World,2718.18371875139,,,1997,1196.4990696236287
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1997,16.086601243144717
North Africa,30.201147045776676,,,1997,5.322612526367975
sub-Saharan Africa,21.851767848375367,,,1997,10.763988716776742
Americas,1100.039531310176,,Cuba,1997,610.283934855343
Central America and the Caribbean,19.781283367512405,,,1997,5.426465146407826
North America,1026.655897810219,,,1997,570.6715507406083
South America,53.602350132444535,,,1997,34.185918968326995
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1997,176.3171532411854
Oceania,36.98674327781575,,,1997,16.49434458955122
South Asia,102.3815205919318,,,1997,32.109642360266804
East Asia,433.1594053700567,,,1997,102.48056780986913
South East Asia,54.86528321337011,,,1997,24.78064802359595
Central Asia,1.9284080397939944,,,1997,0.45195045790229255
Europe,693.4417221375255,,,1997,313.9797609942217
Central Europe,74.9747613412554,,,1997,23.917696157010962
Eastern Europe,221.0853464281265,,,1997,29.666975135946043
Western Europe,397.3816143681436,,,1997,260.3950897012646
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1997,79.83161928973364
World,2718.18371875139,,,1998,1183.4090785255999
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1998,17.979300122766922
North Africa,30.201147045776676,,,1998,5.555728766022925
sub-Saharan Africa,21.851767848375367,,,1998,12.42357135674399
Americas,1100.039531310176,,Cuba,1998,599.1591214075861
Central America and the Caribbean,19.781283367512405,,,1998,5.5229678847892
North America,1026.655897810219,,,1998,558.5952667359198
South America,53.602350132444535,,,1998,35.04088678687712
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1998,176.8391116187836
Oceania,36.98674327781575,,,1998,17.1586877320515
South Asia,102.3815205919318,,,1998,33.2652900458568
East Asia,433.1594053700567,,,1998,103.6019137042588
South East Asia,54.86528321337011,,,1998,22.373342537432983
Central Asia,1.9284080397939944,,,1998,0.4398775991835558
Europe,693.4417221375255,,,1998,303.7838613163199
Central Europe,74.9747613412554,,,1998,23.037501417724226
Eastern Europe,221.0853464281265,,,1998,18.401962423213323
Western Europe,397.3816143681436,,,1998,262.3443974753824
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1998,85.64768406014338
World,2718.18371875139,,,1999,1203.6761155916952
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1999,25.74455274129878
North Africa,30.201147045776676,,,1999,4.913664342674274
sub-Saharan Africa,21.851767848375367,,,1999,20.830888398624506
Americas,1100.039531310176,,Cuba,1999,599.0505304756379
Central America and the Caribbean,19.781283367512405,,,1999,5.752475826075978
North America,1026.655897810219,,,1999,560.5664293289985
South America,53.602350132444535,,,1999,32.731625320563275
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1999,186.47863388528518
Oceania,36.98674327781575,,,1999,17.889178130844858
South Asia,102.3815205919318,,,1999,37.45112901953726
East Asia,433.1594053700567,,,1999,108.78251139965673
South East Asia,54.86528321337011,,,1999,21.971035204842146
Central Asia,1.9284080397939944,,,1999,0.38478013040424264
Europe,693.4417221375255,,,1999,309.3484005458783
Central Europe,74.9747613412554,,,1999,22.407793110470227
Eastern Europe,221.0853464281265,,,1999,20.062285367538475
Western Europe,397.3816143681436,,,1999,266.8783220678696
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1999,83.05399794359505
World,2718.18371875139,,,2000,1248.0967223306802
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2000,24.935585123248245
North Africa,30.201147045776676,,,2000,5.52379909004006
sub-Saharan Africa,21.851767848375367,,,2000,19.41178603320819
Americas,1100.039531310176,,Cuba,2000,620.2785561847804
Central America and the Caribbean,19.781283367512405,,,2000,5.895582453939244
North America,1026.655897810219,,,2000,581.4172388436848
South America,53.602350132444535,,,2000,32.96573488715632
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2000,191.88813684162236
Oceania,36.98674327781575,,,2000,17.861296622195862
South Asia,102.3815205919318,,,2000,38.865753228746
East Asia,433.1594053700567,,,2000,112.998797185186
South East Asia,54.86528321337011,,,2000,21.748916248756068
Central Asia,1.9284080397939944,,,2000,0.4133735567384362
Europe,693.4417221375255,,,2000,319.0878270129635
Central Europe,74.9747613412554,,,2000,22.639474833113667
Eastern Europe,221.0853464281265,,,2000,26.630818487948332
Western Europe,397.3816143681436,,,2000,269.8175336919015
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2000,91.9066171680658
World,2718.18371875139,,,2001,1272.2581024662215
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2001,24.030154250362493
North Africa,30.201147045776676,,,2001,6.627485422928927
sub-Saharan Africa,21.851767848375367,,,2001,17.40266882743356
Americas,1100.039531310176,,Cuba,2001,628.6445584608884
Central America and the Caribbean,19.781283367512405,,,2001,6.0825466509958135
North America,1026.655897810219,,,2001,586.4158173401872
South America,53.602350132444535,,,2001,36.14619446970525
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2001,202.99525859912052
Oceania,36.98674327781575,,,2001,18.422359667429777
South Asia,102.3815205919318,,,2001,40.05832811615514
East Asia,433.1594053700567,,,2001,121.95392662851144
South East Asia,54.86528321337011,,,2001,22.023320723739296
Central Asia,1.9284080397939944,,,2001,0.5373234632848455
Europe,693.4417221375255,,,2001,321.91378477650244
Central Europe,74.9747613412554,,,2001,23.382016711651097
Eastern Europe,221.0853464281265,,,2001,28.322789208406334
Western Europe,397.3816143681436,,,2001,270.208978856445
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2001,94.67434637934744
